noise_db,noise_label,snr_top10_db,selected_bundle_count,ok_bundle_count,fail_bundle_count,mean_abs_diff_mean,mean_abs_diff_std,mean_abs_diff_min,mean_abs_diff_max,corr_mean,corr_std,corr_min,corr_max,sign_agreement_mean,sign_agreement_std,sign_agreement_min,sign_agreement_max,rmse_mean,rmse_std,max_abs_diff_mean,max_abs_diff_std,max_abs_diff_max
2.0,2dB,8.811012,1500,1500,0,0.09303655137618383,0.0013547188440124057,0.08846663683652878,0.09798183292150497,0.9999600822862419,1.8984551306911266e-05,0.9998102486705907,0.9999737036603344,0.9999968055555555,1.4547575208415685e-05,0.9999305555555555,1.0,0.12861558827757835,0.015885555740595986,4.789552714665731,3.3242941902663894,23.042531967163086
0.0,0dB,12.15671,1500,1500,0,0.09303130833307902,0.0013531802194310433,0.0889524295926094,0.09812814742326736,0.9999598135511221,1.9441658750412904e-05,0.9998102486705907,0.9999737036603344,0.9999964351851851,1.5738766216029166e-05,0.9998611111111111,1.0,0.12883833708862463,0.016236082689747862,4.829102138519287,3.3819449367711427,22.97488784790039
-1.0,minus1dB,14.696928,1500,1500,0,0.09303594218194484,0.001355920958244385,0.08846663683652878,0.09798183292150497,0.9999600451836621,1.9006026285575784e-05,0.9998102486705907,0.9999737036603344,0.9999967592592593,1.4647492610702635e-05,0.9999305555555555,1.0,0.12864882244666417,0.015909518096574246,4.798463383674622,3.3318605672429498,23.042531967163086
-2.0,minus2dB,16.993704,1500,1500,0,0.09303144492208958,0.0013588807824709654,0.0889524295926094,0.09812814742326736,0.9999593678808845,2.0672875324282967e-05,0.9997644585090225,0.9999735902360307,0.9999960648148147,1.6645755915138526e-05,0.9998611111111111,1.0,0.12917678644756475,0.01707668173109982,4.898946269035339,3.50359613658864,22.98617172241211
-3.0,minus3dB,18.560036,1500,1500,0,0.09301866752902667,0.0013370673802434961,0.08846663683652878,0.09798183292150497,0.9999602563662576,1.903050887495988e-05,0.9998118695965712,0.9999748188834182,0.9999967592592593,1.4647492610702637e-05,0.9999305555555555,1.0,0.12842172196507454,0.01596631446939921,4.749409605662028,3.3504288914448606,23.003707885742188
-3.5,minus3.5dB,20.27278,1500,1500,0,0.09295484059055646,0.0013883128452585793,0.08925394713878632,0.09771908819675446,0.9999601956825984,1.7801113863512675e-05,0.9997858081867652,0.9999738674126355,0.9999969907407408,1.4364913411206138e-05,0.9998611111111111,1.0,0.12852730271716914,0.015250252542664171,4.793651377677917,3.2544473117828066,22.96158790588379
-4.3,minus4.3dB,20.865081,1500,1500,0,0.09295645208656787,0.0013687945979002191,0.08874769508838654,0.09771908819675446,0.9999607584569813,1.7243679079544063e-05,0.9997858081867652,0.9999738763878963,0.9999974074074074,1.3407074888450801e-05,0.9998611111111111,1.0,0.12800975497066974,0.01476212526308901,4.681964388847351,3.164822105296352,22.96158790588379
-4.0,minus4dB,21.114638,1500,1500,0,0.09297077247997125,0.0013645382096456437,0.08874769508838654,0.09771908819675446,0.9999605173298624,1.764592751031387e-05,0.999810917666038,0.9999741156719597,0.9999971296296295,1.3823612033659086e-05,0.9999305555555555,1.0,0.12823648570477963,0.0151112100740078,4.731483974774679,3.2699419966802323,22.9560546875
-4.65,minus4.65dB,21.352321,1500,1500,0,0.09296454351643721,0.0013864560913759,0.08874769508838654,0.0971711277961731,0.999961113497309,1.559516991584209e-05,0.9998151387819938,0.9999738763878963,0.9999976388888888,1.2585356717382038e-05,0.9999305555555555,1.0,0.12776352946956954,0.013796376688393971,4.6242276436487835,3.050214071050397,22.895275115966797
-4.6,minus4.6dB,21.670561,1500,1500,0,0.09296376731991768,0.0013679029698467535,0.08928422629833221,0.0971711277961731,0.9999612401549126,1.5301407734281672e-05,0.9998181290380164,0.9999741156719597,0.9999977314814814,1.234462765585252e-05,0.9999305555555555,1.0,0.1276590123573939,0.013607862581432723,4.59710490544637,3.015322443066065,22.96158790588379
-4.5,minus4.5dB,21.895025,1500,1500,0,0.0930166346381108,0.0013695210395659975,0.08885133266448975,0.09771908819675446,0.9999601391903459,1.9263298019648268e-05,0.9997858081867652,0.9999741156719597,0.999997037037037,1.4262265195433183e-05,0.9998611111111111,1.0,0.12853923488159974,0.01611831027489299,4.769726435661316,3.374811950094655,23.033451080322266
-4.68,minus4.68dB,21.919578,1500,1500,0,0.09299682755271593,0.0013754058107700844,0.08885133266448975,0.09771908819675446,0.9999604979933631,1.8999481213486372e-05,0.9997858081867652,0.9999741156719597,0.9999972222222223,1.3842515173822587e-05,0.9998611111111111,1.0,0.1281849237382412,0.015883387151914206,4.700168871243795,3.3412939766030108,23.033451080322266
-4.7,minus4.7dB,22.171492,1500,1500,0,0.09302440140644709,0.0013641869300067232,0.08885133266448975,0.09771908819675446,0.9999601181749843,1.8987576632821664e-05,0.9997858081867652,0.9999741156719597,0.9999968981481481,1.4567598801529237e-05,0.9998611111111111,1.0,0.12858701073626677,0.01595381129655003,4.7762600577672325,3.3483882030971865,22.96158790588379
-6.0,minus6dB,23.76326,1500,1500,0,0.0929698153535525,0.0013825047403976934,0.08874769508838654,0.0971711277961731,0.9999609473032767,1.6625949398115646e-05,0.9998111310278647,0.9999738763878963,0.9999976388888888,1.2585356717382038e-05,0.9999305555555555,1.0,0.12786948794623215,0.014421825564452227,4.649490886370341,3.15654272968676,23.033451080322266
-5.0,minus5dB,27.276879,1500,1500,0,0.09297304891546568,0.0013801066287151414,0.08874769508838654,0.0971711277961731,0.999960941070142,1.6628123412323798e-05,0.9998111310278647,0.9999738763878963,0.9999976388888888,1.2585356717382038e-05,0.9999305555555555,1.0,0.12787782204151155,0.014421232139233459,4.652117806434632,3.159432907118482,23.033451080322266
-8.0,minus8dB,28.815312,1500,1500,0,0.0929698153535525,0.0013825047403976934,0.08874769508838654,0.0971711277961731,0.9999609473032767,1.6625949398115646e-05,0.9998111310278647,0.9999738763878963,0.9999976388888888,1.2585356717382038e-05,0.9999305555555555,1.0,0.12786948794623215,0.014421825564452227,4.649490886370341,3.15654272968676,23.033451080322266
-10.0,minus10dB,34.397277,1500,1500,0,0.0929698153535525,0.0013825047403976934,0.08874769508838654,0.0971711277961731,0.9999609473032767,1.6625949398115646e-05,0.9998111310278647,0.9999738763878963,0.9999976388888888,1.2585356717382038e-05,0.9999305555555555,1.0,0.12786948794623215,0.014421825564452227,4.649490886370341,3.15654272968676,23.033451080322266
